season,week,player_id,rec_td,rec_yards,rec
2016,1,226,0,0,0
2016,1,422,0,0,0
2016,1,595,0,0,0
2016,1,698,0,0,0
2016,1,730,0,0,0
2016,1,802,0,0,0
2016,1,837,0.3,47,3.5
2016,1,1085,0,0,0
2016,1,1223,0,0,0
2016,1,1255,0,0,0
2016,1,1317,0,0,0
2016,1,1319,0.1,20.8,1.7
2016,1,1369,0.2,36,3.2
2016,1,1384,0.4,43.1,4.3
2016,1,1407,0,0,0
2016,1,1520,0,0,0
2016,1,1609,0.3,47.1,4
2016,1,1693,0,0,0
2016,1,1722,0,0,0
2016,1,1724,0.4,62.5,5.3
2016,1,1725,0,0,0
2016,1,1732,0,0,0
2016,1,1753,0,0,0
2016,1,1811,0,0,0
2016,1,1827,0,0,0
2016,1,2218,0,0,0
2016,1,2241,0,0,0
2016,1,2264,0,0,0
2016,1,2278,0.3,53.9,3.6
2016,1,2282,0.1,18.7,2.5
2016,1,2347,0.2,24.4,3.1
2016,1,2362,0,0,0
2016,1,2430,0,0,0
2016,1,2447,0,0,0
2016,1,2467,0,0,0
2016,1,2607,0,0,0
2016,1,2686,0,0.6,0.1
2016,1,2726,0,0,0
2016,1,2832,0,0,0
2016,1,2947,0.1,15.7,2.3
2016,1,2951,0,9.6,0.9
2016,1,2956,0,0,0
2016,1,2972,0,21.9,2.9
2016,1,2973,0,12.2,1
2016,1,2994,0,0,0
2016,1,2998,0.4,11.3,1.1
2016,1,3002,0,4.1,0.4
2016,1,3063,0,0,0
2016,1,3064,0.5,76.7,5.9
2016,1,3120,0.3,55.1,4.4
2016,1,3139,0,0,0
2016,1,3471,0,0,0
2016,1,3623,0.1,15.1,1.9
2016,1,3625,0.2,34.6,2.3
2016,1,3647,0.4,61,4.4
2016,1,3659,0,0,0
2016,1,3694,0,0,0
2016,1,3778,0.1,18.4,1.6
2016,1,3794,0,0,0
2016,1,3809,0,0,0
2016,1,4018,0,0,0
2016,1,4097,0,2,0.2
2016,1,4317,0,0,0
2016,1,4318,0,0,0
2016,1,4327,0,8,1.1
2016,1,4332,0,0,0
2016,1,4338,0,1.8,0.3
2016,1,4350,0.5,74.2,5
2016,1,4356,0.1,32.2,3.2
2016,1,4358,0.1,26.3,3.5
2016,1,4360,0,0,0
2016,1,4363,0.4,66.5,4.3
2016,1,4371,0,0,0
2016,1,4375,0.4,52.7,4.4
2016,1,4387,0,0,0
2016,1,4398,0,17.2,1.4
2016,1,4399,0,0,0
2016,1,4411,0,0,0
2016,1,4441,0.2,28.9,2.5
2016,1,4455,0.4,53.9,4.3
2016,1,4460,0,0,0
2016,1,4463,0,7.5,1
2016,1,4467,0,0.4,0
2016,1,4472,0.1,8.8,1
2016,1,4474,0,0,0
2016,1,4519,0.3,45.3,3.9
2016,1,4538,0,0,0
2016,1,4547,0.1,16.9,2.4
2016,1,4655,0,0,0
2016,1,4697,0,0,0
2016,1,4701,0,0,0
2016,1,4702,0,0,0
2016,1,4717,0.1,28.4,2.7
2016,1,4740,0,7.7,1
2016,1,4777,0,0,0
2016,1,4914,0.2,35.5,4.1
2016,1,4924,0,0,0
2016,1,4928,0,0,0
2016,1,4930,0.1,21.9,1.7
2016,1,4933,0.5,60.9,5
2016,1,4942,0.5,66.2,5.1
2016,1,4943,0,3.8,0.4
2016,1,4950,0,0,0
2016,1,4952,0,0,0
2016,1,4953,0.2,40.5,2.9
2016,1,4976,0.1,21.3,2.8
2016,1,5006,0,0,0
2016,1,5007,0.3,43.1,3.3
2016,1,5012,0.4,36.5,2.8
2016,1,5021,0,0,0
2016,1,5048,0,0,0
2016,1,5104,0.3,42.3,3.7
2016,1,5108,0,0,0
2016,1,5109,0,0,0
2016,1,5126,0,0.3,0
